city,lat,lng,country,iso2,admin,capital,population
Lisboa,38.716667,-9.133333,Portugal,PT,Lisboa,primary,3070543
Braga,41.550323,-8.420052,Portugal,PT,Braga,admin,956185
Setúbal,38.533333,-8.9,Portugal,PT,Setúbal,admin,911794
Évora,38.566667,-7.9,Portugal,PT,Évora,admin,168034
Aveiro,40.644269,-8.645535,Portugal,PT,Aveiro,admin,714200
Leiria,39.747724,-8.804995,Portugal,PT,Leiria,admin,470895
Faro,37.019367,-7.932229,Portugal,PT,Faro,admin,434023
Beja,38.015064,-7.863227,Portugal,PT,Beja,admin,152758
Bragança,41.805817,-6.757189,Portugal,PT,Bragança,admin,136252
Castelo Branco,39.822191,-7.490869,Portugal,PT,Castelo Branco,admin,196264
Guarda,40.537328,-7.265749,Portugal,PT,Guarda,admin,168898
Santarém,39.233333,-8.683333,Portugal,PT,Santarém,admin,465701
Viseu,40.661014,-7.909714,Portugal,PT,Viseu,admin,391215
Portalegre,39.297178,-7.430151,Portugal,PT,Portalegre,admin,118506
Viana do Castelo,41.693234,-8.832869,Portugal,PT,Viana do Castelo,admin,240133
Porto,41.149606,-8.610993,Portugal,PT,Porto,admin,1778146
Vila Real,41.30062,-7.744129,Portugal,PT,Vila Real,admin,213775
Coimbra,40.205642,-8.419551,Portugal,PT,Coimbra,admin,429987